lr,momentum,weight_decay,batch_size,epochs,subset_train,seed,train_loss,val_loss,val_acc,params
0.05,0.0,0.0,128,2,2000,0,1.2186405882239342,1.217791259765625,0.5496,50186
0.05,0.0,0.0,256,2,2000,0,1.6099325865507126,2.0017166622161864,0.492,50186
0.05,0.0,0.0005,128,2,2000,0,1.219017181545496,1.2179287649154662,0.5494,50186
0.05,0.0,0.0005,256,2,2000,0,1.6100883334875107,2.001831938934326,0.4923,50186
0.05,0.9,0.0,128,2,2000,0,0.9625242240726948,0.8379821542739868,0.7394,50186
0.05,0.9,0.0,256,2,2000,0,2.059792548418045,1.4175340475082396,0.6198,50186
0.05,0.9,0.0005,128,2,2000,0,0.9647603072226048,0.8607448347091675,0.7353,50186
0.05,0.9,0.0005,256,2,2000,0,2.060129538178444,1.4209474168777465,0.6176,50186
0.1,0.0,0.0,128,2,2000,0,1.08951048925519,0.9414591260910035,0.6456,50186
0.1,0.0,0.0,256,2,2000,0,1.452892541885376,1.3336360515594483,0.6399,50186
0.1,0.0,0.0005,128,2,2000,0,1.0899139940738678,0.9405484670639038,0.6453,50186
0.1,0.0,0.0005,256,2,2000,0,1.4531301110982895,1.3338589097976685,0.6395,50186
0.1,0.9,0.0,128,2,2000,0,0.7139371689409018,0.6205314925193787,0.7834,50186
0.1,0.9,0.0,256,2,2000,0,1.0995401740074158,1.017437910270691,0.6955,50186
0.1,0.9,0.0005,128,2,2000,0,0.7045724950730801,0.5999245746612549,0.7905,50186
0.1,0.9,0.0005,256,2,2000,0,1.0978288426995277,1.0134197207450866,0.6957,50186
0.05,0.0,0.0,128,2,2000,0,1.2186405882239342,1.217791259765625,0.5496,50186
0.05,0.0,0.0,256,2,2000,0,1.6099325865507126,2.0017166622161864,0.492,50186
0.05,0.0,0.0005,128,2,2000,0,1.219017181545496,1.2179287649154662,0.5494,50186
0.05,0.0,0.0005,256,2,2000,0,1.6100883334875107,2.001831938934326,0.4923,50186
0.05,0.9,0.0,128,2,2000,0,0.9625242240726948,0.8379821542739868,0.7394,50186
0.05,0.9,0.0,256,2,2000,0,2.059792548418045,1.4175340475082396,0.6198,50186
0.05,0.9,0.0005,128,2,2000,0,0.9647603072226048,0.8607448347091675,0.7353,50186
0.05,0.9,0.0005,256,2,2000,0,2.060129538178444,1.4209474168777465,0.6176,50186
0.1,0.0,0.0,128,2,2000,0,1.08951048925519,0.9414591260910035,0.6456,50186
0.1,0.0,0.0,256,2,2000,0,1.452892541885376,1.3336360515594483,0.6399,50186
0.1,0.0,0.0005,128,2,2000,0,1.0899139940738678,0.9405484670639038,0.6453,50186
0.1,0.0,0.0005,256,2,2000,0,1.4531301110982895,1.3338589097976685,0.6395,50186
0.1,0.9,0.0,128,2,2000,0,0.7139371689409018,0.6205314925193787,0.7834,50186
0.1,0.9,0.0,256,2,2000,0,1.0995401740074158,1.017437910270691,0.6955,50186
0.1,0.9,0.0005,128,2,2000,0,0.7045724950730801,0.5999245746612549,0.7905,50186
0.1,0.9,0.0005,256,2,2000,0,1.0978288426995277,1.0134197207450866,0.6957,50186
0.05,0.0,0.0,128,2,2000,0,1.2186405882239342,1.217791259765625,0.5496,50186
0.05,0.0,0.0,256,2,2000,0,1.6099325865507126,2.0017166622161864,0.492,50186
0.05,0.0,0.0005,128,2,2000,0,1.219017181545496,1.2179287649154662,0.5494,50186
0.05,0.0,0.0005,256,2,2000,0,1.6100883334875107,2.001831938934326,0.4923,50186
0.05,0.9,0.0,128,2,2000,0,0.9625242240726948,0.8379821542739868,0.7394,50186
0.05,0.9,0.0,256,2,2000,0,2.059792548418045,1.4175340475082396,0.6198,50186
0.05,0.9,0.0005,128,2,2000,0,0.9647603072226048,0.8607448347091675,0.7353,50186
0.05,0.9,0.0005,256,2,2000,0,2.060129538178444,1.4209474168777465,0.6176,50186
0.1,0.0,0.0,128,2,2000,0,1.08951048925519,0.9414591260910035,0.6456,50186
0.1,0.0,0.0,256,2,2000,0,1.452892541885376,1.3336360515594483,0.6399,50186
0.1,0.0,0.0005,128,2,2000,0,1.0899139940738678,0.9405484670639038,0.6453,50186
0.1,0.0,0.0005,256,2,2000,0,1.4531301110982895,1.3338589097976685,0.6395,50186
0.1,0.9,0.0,128,2,2000,0,0.7139371689409018,0.6205314925193787,0.7834,50186
0.1,0.9,0.0,256,2,2000,0,1.0995401740074158,1.017437910270691,0.6955,50186
0.1,0.9,0.0005,128,2,2000,0,0.7045724950730801,0.5999245746612549,0.7905,50186
0.1,0.9,0.0005,256,2,2000,0,1.0978288426995277,1.0134197207450866,0.6957,50186
